Wall time,Step,Value
1701163754.5388854,0,0.005667506251484156
1701165645.6180832,1,0.4357682764530182
1701167534.58532,2,0.506507158279419
1701169420.4795413,3,0.4659949541091919
1701171305.6447382,4,0.5375734567642212
1701173190.334397,5,0.5573047995567322
1701175072.485387,6,0.5894206762313843
1701176953.9830234,7,0.6217464208602905
1701178841.7640293,8,0.6032745838165283
1701180725.1481276,9,0.6154491901397705
1701182610.2108803,10,0.6196473836898804
1701184493.1838572,11,0.6221662759780884
1701186376.5173454,12,0.6177582144737244
1701188257.860066,13,0.6194374561309814
1701190139.0676508,14,0.6288833022117615
1701191979.529085,15,0.6633081436157227
1701193803.6172667,16,0.6456758975982666
1701195630.8193786,17,0.6544920206069946
1701197465.390159,18,0.6511334776878357
1701199299.482884,19,0.6486145853996277
1701201119.7613335,20,0.6534425020217896
