Wall time,Step,Value
1700612929.9883819,0,4.206858158111572
1700614091.115458,1,2.8737637996673584
1700615391.9423783,2,2.5454893112182617
1700616691.700925,3,2.4303836822509766
1700617992.6565356,4,2.380246162414551
1700619291.656492,5,2.350069284439087
1700620589.0123348,6,2.314868927001953
1700621883.8751104,7,2.297652006149292
1700623179.77219,8,2.2914483547210693
1700624477.2711687,9,2.2840049266815186
1700625773.4167452,10,2.2823188304901123
1700627067.5844562,11,2.270720958709717
1700628362.9322798,12,2.2671761512756348
1700629657.7324302,13,2.2570271492004395
1700630952.5853348,14,2.257955551147461
1700632247.1040013,15,2.265350580215454
1700633542.2522626,16,2.2562155723571777
1700634836.845848,17,2.2579898834228516
1700636094.767343,18,2.2577624320983887
1700637329.5762007,19,2.2639658451080322
1700638565.3238797,20,2.25352144241333
