Wall time,Step,Value
1701163717.358271,0,4.036990165710449
1701165641.925551,1,3.1668293476104736
1701167686.8347802,2,3.0939202308654785
1701169713.5952926,3,3.022709846496582
1701171742.7969797,4,2.8877694606781006
1701173769.432171,5,2.8309695720672607
1701175796.3317444,6,2.7617011070251465
1701177825.1541853,7,2.692955493927002
1701179855.2618968,8,2.6397688388824463
1701181893.6649947,9,2.60012149810791
1701183936.756114,10,2.5541880130767822
1701185986.7955568,11,2.5001816749572754
1701188031.0048058,12,2.456054210662842
1701190069.5660455,13,2.394496440887451
1701192110.1424818,14,2.3430538177490234
1701194162.9849207,15,2.291084051132202
1701196224.0426762,16,2.2399179935455322
1701198303.4541464,17,2.193162202835083
1701200418.2334104,18,2.1614491939544678
1701202503.019871,19,2.111208915710449
1701204567.8874311,20,2.073350191116333
