Wall time,Step,Value
1700741190.3422515,0,4.076584815979004
1700742335.57858,1,2.7347733974456787
1700743633.3262098,2,2.370590925216675
1700744928.2773712,3,2.2437877655029297
1700746209.742684,4,2.1768763065338135
1700747486.6152992,5,2.134228467941284
1700748759.1670845,6,2.096834659576416
1700750030.2481976,7,2.0798585414886475
1700751300.3154576,8,2.0606980323791504
1700752564.011092,9,2.0503954887390137
1700753832.1649318,10,2.034142017364502
1700755100.7035139,11,2.03053617477417
1700756368.9320326,12,2.0120694637298584
1700757642.6773472,13,2.0146408081054688
1700758919.9519157,14,2.0053529739379883
1700760209.9193797,15,2.000912666320801
1700761529.2176707,16,1.9986824989318848
1700762865.9319744,17,1.9941495656967163
1700764204.6902237,18,2.0006144046783447
1700765525.87434,19,1.982338547706604
1700766838.1100183,20,1.9844229221343994
