Wall time,Step,Value
1701163754.5393717,0,4.122080326080322
1701165514.7108812,1,2.5441062450408936
1701167403.4853666,2,1.9918923377990723
1701169289.8161392,3,1.7611585855484009
1701171174.575105,4,1.6039302349090576
1701173058.4045644,5,1.4821898937225342
1701174942.1080365,6,1.3857613801956177
1701176822.923534,7,1.2970044612884521
1701178710.0405486,8,1.2208939790725708
1701180593.9733815,9,1.1487412452697754
1701182478.1562245,10,1.0829299688339233
1701184362.1542618,11,1.0202248096466064
1701186245.6436074,12,0.9656324982643127
1701188127.196423,13,0.9119234681129456
1701190008.4110405,14,0.8632265329360962
1701191855.6251016,15,0.8170719742774963
1701193677.3531296,16,0.770243763923645
1701195505.844463,17,0.7219575643539429
1701197339.9882863,18,0.6873959898948669
1701199174.7268176,19,0.6446565389633179
1701200994.8426075,20,0.6099327802658081
