Wall time,Step,Value
1700612917.759174,0,4.0327653884887695
1700613912.576799,1,2.8737874031066895
1700615025.7954972,2,2.5803587436676025
1700616137.6930325,3,2.4669246673583984
1700617249.5412943,4,2.408175230026245
1700618363.2462528,5,2.3629658222198486
1700619474.1479425,6,2.3406553268432617
1700620585.665543,7,2.3136730194091797
1700621697.9272227,8,2.297731637954712
1700622812.6051867,9,2.2789406776428223
1700623925.8656948,10,2.273089647293091
1700625039.730181,11,2.2689030170440674
1700626150.8168447,12,2.254671096801758
1700627262.5558705,13,2.247483015060425
1700628374.8013952,14,2.252512216567993
1700629486.2685816,15,2.2401468753814697
1700630597.5246782,16,2.243682622909546
1700631708.7329795,17,2.2414584159851074
1700632821.3299968,18,2.2305004596710205
1700633933.8725364,19,2.235680341720581
1700635045.6729178,20,2.22448468208313
